,/api/nationbuilder,/api/twilio-sms,/api/bitly,/api/sendgrid,/api/twitter,/api/google-visualization
Mashup: American Directions Group,1,0,0,0,0,0
Mashup: Wedgies,0,1,1,1,1,1
