,/api/facebook,/api/skimlinks-link-monetization,/api/parsebot,/api/prosperent,/api/ebay-finding,/api/twitter,/api/google-plus,/api/amazon-product-advertising
Mashup: Gift Finder,0,0,0,0,0,0,0,1
Mashup: Christmas List App,1,1,1,1,1,1,1,1
