,/api/google-search,/api/map24-ajax,/api/barcelona-bicing,/api/google-maps,/api/facebook-social-plugins,/api/twitter,/api/bing,/api/addthis-menu,/api/ebay,/api/dbpedia,/api/youtube,/api/geocoderca,/api/flickr,/api/panoramio,/api/google-custom-search,/api/google-maps-data
Mashup: La Liga F̼tbol Espa̱ol,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
Mashup: Spanish Universities: Accessia 3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Mashup: Gay City Map of Madrid,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Spain Traffic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Barcelona Bicing mashup with Google Maps,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: zangoa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: hoosta,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: GoolzOOm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Mashup: Infobiliaria Spain,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Real Estate in Spain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
