,/api/facebook,/api/google-maps,/api/flickr,/api/twitter,/api/wikipedia,/api/victoria-albert-museum
Mashup: Our Louvre,0,1,1,0,1,0
Mashup: Collection Trakr,1,0,0,1,0,1
