,/api/fatsecret-platform,/api/google-search,/api/mapbox,/api/food,/api/twitter,/api/google-openid,/api/amazon-product-advertising,/api/youtube,/api/brewerydb,/api/google-maps-flash,/api/twilio-sms,/api/instagram-graph,/api/google-chart,/api/yelp-fusion,/api/paypal,/api/google-base,/api/zomato-foodie-index,/api/dwolla,/api/facebook-social-plugins,/api/flickr,/api/google-app-engine,/api/yahoo-local-search,/api/dealsurf,/api/adility,/api/withings,/api/google-gadgets,/api/google-maps-data,/api/open-dining-network-food-ordering,/api/fitbit,/api/facebook,/api/evernote,/api/google-analytics-managment,/api/addthis-menu,/api/mandrill,/api/meetup,/api/google-static-maps,/api/retailmenotcom-community-ideas,/api/google-geocoding,/api/google-single-signon,/api/twilio,/api/bing,/api/google-maps,/api/openstreetmap,/api/google-fonts,/api/geocoder,/api/google-adsense,/api/sharedbook,/api/foursquare,/api/venmo
Mashup: Fast Nosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: beermapping.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Farmers Market Finder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Mashup: Starbucks Location Information,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: The Foodmarkit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Pizza Coupons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: 2Spaghi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Place Mapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Find a Beer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mashup: eatbytweet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Ji3an,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
