,/api/google-spreadsheets,/api/linkedin,/api/geonames,/api/google-base,/api/google-maps,/api/google-earth,/api/google-app-engine,/api/google-adsense,/api/dbpedia,/api/google-analytics-managment,/api/google-wave
Mashup: Rock Climbing in Mexico,0,0,0,0,1,1,0,0,0,0,0
Mashup: Sumavisos Clasificados,1,1,1,1,1,0,1,1,1,1,1
